Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IE_HOMEPAGE_TestSuite,Chrome 72.0.3626.121,,2019-04-10 14:48:17,2019-04-10 14:51:19,3m - 2.022s,PASSED
,,,,,,
Test Cases/IEHomePageTestCase/TC005_NavigateTO_IE_HOME - Copy,Chrome 72.0.3626.121,,2019-04-10 14:48:20,2019-04-10 14:49:05,45.261s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-04-10 14:48:20,2019-04-10 14:48:20,0.020s,PASSED
"callTestCase(findTestCase(""CommonTestCase/TC001_OpenBrowserForStore""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-10 14:48:21,2019-04-10 14:48:42,20.633s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_Page/HOT_Operation""), Timeout)",Chrome 72.0.3626.121,,2019-04-10 14:48:42,2019-04-10 14:48:42,0.061s,PASSED
"click(findTestObject(""IE_Home_Page/HOT_Operation""))",Chrome 72.0.3626.121,,2019-04-10 14:48:42,2019-04-10 14:48:46,3.812s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_Page/TaskList""), Timeout)",Chrome 72.0.3626.121,,2019-04-10 14:48:46,2019-04-10 14:48:46,0.058s,PASSED
"click(findTestObject(""IE_Home_Page/TaskList""))",Chrome 72.0.3626.121,,2019-04-10 14:48:46,2019-04-10 14:48:47,0.956s,PASSED
"scrollToElement(findTestObject(""IE_Home_Page/CaseID""), 5)",Chrome 72.0.3626.121,,2019-04-10 14:48:47,2019-04-10 14:48:50,3.338s,PASSED
"caseID = getText(findTestObject(""IE_Home_Page/CaseID""))",Chrome 72.0.3626.121,,2019-04-10 14:48:50,2019-04-10 14:48:50,0.271s,PASSED
getAllDetails_IE_HomePage.PrintStatement.getTextofElement(caseID),Chrome 72.0.3626.121,,2019-04-10 14:48:50,2019-04-10 14:48:51,0.012s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_Page/Open""), Timeout)",Chrome 72.0.3626.121,,2019-04-10 14:48:51,2019-04-10 14:48:51,0.083s,PASSED
"click(findTestObject(""IE_Home_Page/Open""))",Chrome 72.0.3626.121,,2019-04-10 14:48:51,2019-04-10 14:48:52,0.973s,PASSED
switchToWindowIndex(1),Chrome 72.0.3626.121,,2019-04-10 14:48:52,2019-04-10 14:48:52,0.183s,PASSED
"verifyElementPresent(findTestObject(""IE_Home_Page/IE_HomePage_Text""), Timeout)",Chrome 72.0.3626.121,,2019-04-10 14:48:52,2019-04-10 14:48:53,1.692s,PASSED
"textOFWalmart = getText(findTestObject(""IE_Home_Page/IE_HomePage_Text""))",Chrome 72.0.3626.121,,2019-04-10 14:48:53,2019-04-10 14:48:54,0.386s,PASSED
