Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IE_MatchAndReconcile,Chrome 72.0.3626.121,,2019-04-10 14:09:30,2019-04-10 14:10:46,1m - 16.019s,PASSED
,,,,,,
Test Cases/MatchAndReconcilePageTestCase/TC010_VerifyDetailsofMatchAndReconcile,Chrome 72.0.3626.121,,2019-04-10 14:09:31,2019-04-10 14:10:11,39.412s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-04-10 14:09:32,2019-04-10 14:09:32,0.090s,PASSED
"callTestCase(findTestCase(""IEHomePageTestCase/TC003_ValidateSwitchBetweenTabOnIEHOME""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-10 14:09:33,2019-04-10 14:10:02,29.104s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_MatchAndReconcile_Page/HeaderOfMatchAndReconcile""), Timeout)",Chrome 72.0.3626.121,,2019-04-10 14:10:02,2019-04-10 14:10:02,0.224s,PASSED
"elements = getText(findTestObject(""IE_Home_MatchAndReconcile_Page/HeaderOfMatchAndReconcile""))",Chrome 72.0.3626.121,,2019-04-10 14:10:02,2019-04-10 14:10:02,0.183s,PASSED
getAllDetails_IE_HomePage.PrintStatement.getTextofElement(elements),Chrome 72.0.3626.121,,2019-04-10 14:10:02,2019-04-10 14:10:02,0.001s,PASSED
delay(Timeout_MinDelay),Chrome 72.0.3626.121,,2019-04-10 14:10:02,2019-04-10 14:10:04,2.020s,PASSED
getAllDetails_IE_HomePage.Match_Reconcile_Detail.getHeaderDetailsOfMatchAndReconcile(),Chrome 72.0.3626.121,,2019-04-10 14:10:04,2019-04-10 14:10:04,0.078s,PASSED
getAllDetails_IE_HomePage.Match_Reconcile_Detail.getlistofReconHeader(),Chrome 72.0.3626.121,,2019-04-10 14:10:04,2019-04-10 14:10:04,0.096s,PASSED
